Company,File,FileYear,FilenameYears,Pages,Title,YearsInFirstPages,FirstText,SizeBytes,ValidPdf,Error
NVDA,NVDA\NVDA_ESG_2023.pdf,2023,2023,59,NVIDIA Corporate Responsibility Report Fiscal Year 2023,2023,"NVIDIA Corporate Responsibility Report Fiscal Year 2023 Table of Contents Message From Our CEO Introduction About NVIDIA 05 Our Code and Values 06 Corporate Responsibility Management 08 Stakeholder Engagement 09 Business Practices Business Continuity 11 Human Rights 11 Cybersecurity 13 Data Privacy 13 Product Security 14 Product Quality and Safety 14 Customer Relations 15 Trade Issues 15 People, Diversity and Inclusi",7801470,True,
NVDA,NVDA\NVDA_ESG_2024.pdf,2024,2024,41,NVIDIA Sustainability Report Fiscal Year 2024,2024,"NVIDIA Sustainability Report Fiscal Year 2024 Table of Contents Message From Our CEO Introduction FY24 Highlights 06 About NVIDIA 07 Sustainability Governance 07 Societal Impact 08 Climate and Efficiency Product Energy Efficiency 10 Greenhouse Gas Emissions 11 Energy and Environment 12 People, Diversity and Inclusion Recruitment 14 Benefits and Compensation 15 Pay and Promotion 15 Engagement and Retention 16 Learning",4639165,True,
NVDA,NVDA\NVDA_ESG_2025.pdf,2025,2025,40,NVIDIA Sustainability Report Fiscal Year 2025,2025,"NVIDIA Sustainability Report Fiscal Year 2025 Table of Contents Message From Our CEO Introduction FY25 Highlights 06 About NVIDIA 07 Sustainability Governance 08 Our Impact 08 Energy, Efficiency, and Climate Product Energy Efficiency 10 Greenhouse Gas Emissions 11 Energy and Environment 12 People, Diversity, and Inclusion Recruitment 14 Benefits and Compensation 15 Pay and Promotion 15 Engagement and Retention 16 Lea",5443021,True,
PFE,PFE\PFE_ESG_2022.pdf,2022,2022,83,,2022,"Environmental, Social & Governance Report Pfizer 2022 Pfizer 2022 ESG Report 2 In This Report Introduction A Letter from our Chairman & CEO A Letter from Our Lead Independent Director 2022 Progress and Highlights Our Approach to ESG Priority ESG Issues Impact Stories Tackling the Health Equity Gap Together Keeping Patients at the Center of Everything We Do Environment Climate Change Sustainable Medicines Social Innov",10637557,True,
PFE,PFE\PFE_ESG_2023.pdf,2023,2023,42,,2023,"Pfizer 2023 Impact Report Introduction Governance SocialEnvironment AppendixESG Performance Measuring and reporting our ESG performance is key to understanding the impact of our operations, driving continuous improvement, and maintaining a transparent dialogue with our stakeholders. We are committed to improving our ESG performance because it is crucial to our long- term success as a responsible business and is essen",1252055,True,
PFE,PFE\PFE_ESG_2024.pdf,2024,2024,82,2024 Impact Report,2024,2024 Impact Report Introduction Principles Planet People Appendix Table of Contents Introduction A Letter from Our Chairman & CEO 4 A Message from Our Lead Independent Director 5 Who We Are 6 Our Approach to Responsible Business Growth 7 Our Stakeholders 8 2024 Highlights 9 Spotlight Stories 10 Principles Governance 14 Board of Directors and Board Committees 14 Board Leadership Structure 15 Board Composition and Inde,6107644,True,
PG,PG\PG_ESG_2022.pdf,2022,2022,42,2022_Citizenship_Report,2022,"2022 CITIZENSHIP REPORT INTRODUCTIONINTRODUCTION COMMUNITY IMPACT EQUALITY & INCLUSION ENVIRONMENTAL SUSTAINABILITY ETHICS & CORPORATE RESPONSIBILITY RECOGNITIONS & AWARDS DELIVERING FOR ALL OUR STAKEHOLDERS DEAR STAKEHOLDERS, We have been talking about the importance of balance for some time in the context of needing to deliver balanced growth and value creation. While that will always be an imperative, the world ne",21022461,True,
PG,PG\PG_ESG_2023.pdf,2023,2023,83,2023 Citizenship Report,2022;2023,"2023 CITIZENSHIP REPORT The information in this report covers the period of July 1, 2022 to June 30, 2023. Jon R. Moeller Chairman of the Board, President and Chief Executive Officer Delivering For All Our Stakeholders P&G’s objective is to deliver balanced top- and bottom-line growth while serving the needs of all stakeholders – consumers, customers, employees, society and shareowners. We take an integrated approach",34456471,True,
PG,PG\PG_ESG_2024.pdf,2024,2024,19,,2023;2024,"The information in this report covers the period of July 1, 2023 to June 30, 2024. Citizenship Summary Fiscal Year 2024 I want to share perspective on P&G’s Citizenship work—why we do it and why it is important. We see success in Citizenship as an opportunity to create competitive advantage that drives shareholder value. P&G’s ability to grow is directly connected to our commitment to responsible business and doing g",1106179,True,
UNH,UNH\UNH_ESG_2022.pdf,2022,2022,90,,2022,"Our Mission in Action 2022 Sustainability Report Introduction Our people and cultureHealthy environment 2 2022 Sustainability Report A modern, high-performing health system Responsible business practices Performance data Introduction A message from our Chief Executive Officer (CEO) A message from our Chief Sustainability Officer (CSO) About UnitedHealth Group Sustainability at UnitedHealth Group 2022 sustainability h",10579880,True,
UNH,UNH\UNH_ESG_2023.pdf,2023,2023,93,,2023,"Our Mission in Action 2023 Sustainability Report Marie Kharifene, a community health worker at Optum, connects patients to the support they need. Introduction A modern, high-performing health system Healthy environment Our people and culture 22023 Sustainability Report Responsible business practices Performance data Marie Kharifene As a community volunteer coordinator at WellMed, Marie visits the homes of patients in",9563767,True,
UNH,UNH\UNH_ESG_2024.pdf,2024,2024,87,2024-sustainability-report,2024,"2024 Sustainability Report Our Mission in Action Contents Introduction 3 Welcome 4 About UnitedHealth Group 5 Sustainability at UnitedHealth Group 7 2024 sustainability highlights Building a modern, high-performing health system 11 Helping people live healthier lives 23 Helping the health system work better for everyone Healthy environment 33 Creating a healthier planet for a healthier society 34 Decarbonizing our op",9648075,True,
WMT,WMT\WMT_ESG_2022.pdf,2022,2022,50,Walmart FY2022 ESG Summary,2022,"Environmental, Social and Governance Summary Report FY2022 Contents INTRODUCTION 3 About our reporting 4 Year at a glance FY2022 6 Leadership letters 8 Our company 10 Our approach to ESG 12 OPPORTUNITY 1 5 Human capital: Good jobs & advancement for associates 16 Equity & inclusion at Walmart and beyond 20 Supplier opportunity 23 SUSTAINABILITY 2 4 Product supply chain sustainability 25 Climate change 27 Waste: Circul",10711338,True,
WMT,WMT\WMT_ESG_2023.pdf,2023,2023,43,FY2023 Walmart ESG Highlights,2023,"Environmental, Social, and Governance Highlights FY2023 FY2023 ESG Highlights Contents ESG REPORTING SOURCES ESG Issue Briefs ESG Reporting Data INTRODUCTION 4 Leadership Letters 6 Awards & Recognition 7 Our Company 8 Our Approach to ESG OPPORTUNITY 11 Opportunity Highlights 12 Human Capital: Good Jobs & Advancement for Associates 13 Human Capital Spotlight 14 Equity & Inclusion at Walmart & Beyond 15 Supplier Opport",4700060,True,
WMT,WMT\WMT_ESG_2024.pdf,2024,2024,132,,,,101968027,True,
WMT,WMT\WMT_ESG_2025.pdf,2025,2025,113,Walmart Inc. FY2025 ESG Report,2025,"Delivering Shared Value FY2025 ESG Report INTRODUCTION OPPORTUNITY SUSTAINABILITY COMMUNITY ETHICS & INTEGRITY APPENDIX Walmart’s Shared Value Priorities Table of Contents Introduction 3 Our Company 4 A Message From Our CSO 5 Our Shared Value Approach 7 About Our Reporting Opportunity 10 Our People 22 Supplier Opportunity Sustainability 26 Climate Resilience, Energy, and Emissions 37 Regeneration of Natural Resources",21725562,True,
XOM,XOM\XOM_ESG_2022.pdf,2022,2022,84,Sustainability Report 2022,2021;2022,ExxonMobil Sustainability Report 1 Sustainability Report Published December 2022 ExxonMobil Sustainability Report 2 Table of contents Introduction .............................................................................................................. 3 Strategic priorities and organization .........................................................................................3 Highlighting 2021 performance .,13937352,True,
XOM,XOM\XOM_ESG_2023.pdf,2023,2023,12,Executive Summary Sustainability Report,2023;2024,"Executive Summary 2023 Sustainability Report Published January 8, 2024 | 2023 Sustainability Report | Executive Summary 2 “I think every piece of this business is exciting. The way that we approach our business, the ethics that we bring, the standards that we hold ourselves to … we do things the right way for the right reasons, and I love that about our company.” – Darren Woods",6903378,True,
XOM,XOM\XOM_ESG_2024.pdf,2024,2024,81,Advancing Climate Solutions Report,2024;2050,"Executive Summary 2024 Advancing Climate Solutions Published January 8, 2024 | 2024 Advancing Climate Solutions | Executive Summary 2 2050 net-zero ambition With advancements in technology and clear and consistent government policies that support needed investments and the development of market-driven mechanisms, we aim to achieve net-zero Scope 1 and 2 greenhouse gas emissions in our operated assets by 2050. ExxonMo",15549568,True,
XOM,XOM\XOM_ESG_2025.pdf,2025,2025,72,Sustainability Report 2025,2025;2050,Our view to 2050 2025 Sustainability Report April 2025 ExxonMobil | 2025 Sustainability Report 1 Contents Executive summary . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 02 Our appr oach to sustainability Integrating sustainability into what we do . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 09 Pursuing environm,12535405,True,
